scenario,month,active_pib,token_price_usd,storage_price_usd_per_gibmonth,issuance_monthly_nil,bps,cost_usd_per_gibmonth
Slow (10 PiB cap),48,5.0,0.005443285351401265,0.005443285351401265,26214.4,50.0,0.005494996562239576
Slow (10 PiB cap),49,5.2497918747894,0.005394458989276792,0.005394458989276792,26751.626306724,48.59685781704234,0.005444949430378712
Slow (10 PiB cap),50,5.4983399731247795,0.005347361773824903,0.005347361773824903,27254.597896323554,47.27246795350848,0.005396703200616009
Slow (10 PiB cap),51,5.7444251681165905,0.0053019484216099725,0.0053019484216099725,27721.444097206644,46.022410381342866,0.005350208034115222
Slow (10 PiB cap),52,5.98687660112452,0.00525816902260536,0.00525816902260536,28150.7625918502,44.842513149602496,0.005305409734560986
Slow (10 PiB cap),53,6.224593312018546,0.005215969543135732,0.005215969543135732,28541.63426064956,43.728838460958514,0.005262250235036748
Slow (10 PiB cap),54,6.456563062257954,0.0051752923936856125,0.0051752923936856125,28893.62331858144,42.67766952966369,0.005220668151306907
Slow (10 PiB cap),55,6.681877721681661,0.00513607704378531,0.00513607704378531,29206.76344064229,41.68549817712543,0.005180599383506973
Slow (10 PiB cap),56,6.899744811276125,0.005098260665165697,0.005098260665165697,29481.53127623979,40.74901312368591,0.005141977747234224
Slow (10 PiB cap),57,7.109495026250039,0.00506177878439172,0.00506177878439172,29718.809309076627,39.86508893753401,0.005104735615063673
Slow (10 PiB cap),58,7.310585786300049,0.005026565927156704,0.005026565927156704,29919.84039510913,39.03077560386717,0.005068804550504999
Slow (10 PiB cap),59,7.502601055951176,0.004992556238192794,0.004992556238192794,30086.176495873162,38.24328867949119,0.005034115918211242
Slow (10 PiB cap),60,7.685247834990177,0.0049596840631285725,0.0049596840631285725,30219.624126834973,37.5,0.005000601456649383
Slow (10 PiB cap),61,7.8583498304255865,0.00492788448138343,0.00492788448138343,30322.188885500138,36.798428908521174,0.004968193802225415
Slow (10 PiB cap),62,8.021838885585819,0.004897093782112136,0.004897093782112136,30396.021147524625,36.13623397675424,0.004936826956803291
Slow (10 PiB cap),63,8.175744761936436,0.004867249878106395,0.004867249878106395,30443.364661611144,35.51120519067143,0.0049064366934714445
Slow (10 PiB cap),64,8.320183851339245,0.004838292655261958,0.004838292655261958,30466.509375761103,34.92125657480125,0.004876960898130473
Slow (10 PiB cap),65,8.455347349164652,0.004810164257611232,0.004810164257611232,30467.749424242684,34.36441923047926,0.0048483398468820845
Slow (10 PiB cap),66,8.581489350995122,0.004782809309927151,0.004782809309927151,30449.346825104967,33.838834764831844,0.004820516421216855
Slow (10 PiB cap),67,8.698915256370022,0.00475617508148936,0.00475617508148936,30413.501102640683,33.34274908856271,0.004793436264592399
Slow (10 PiB cap),68,8.807970779778824,0.00473021159576849,0.00473021159576849,30362.324770106636,32.874506561842956,0.004767047885163847
Slow (10 PiB cap),69,8.90903178804387,0.004704871691553937,0.004704871691553937,30297.824390219477,32.432544468767006,0.004741302710201546
Slow (10 PiB cap),70,9.00249510880315,0.0046801110414695845,0.0046801110414695845,30221.886773614933,32.015387801933585,0.004716155098151074
Slow (10 PiB cap),71,9.088770389851438,0.004655888133944918,0.004655888133944918,30136.269773575877,31.621644339745593,0.0046915623144133944
Slow (10 PiB cap),72,9.168273035060777,0.004632164224594434,0.004632164224594434,30042.597081287153,31.25,0.004667484476806966
Slow (10 PiB cap),73,9.241418199787566,0.0046089032626641414,0.0046089032626641414,29942.35641081289,30.899214454260587,0.00464388447637733
Slow (10 PiB cap),74,9.308615796566533,0.004586071797783149,0.004586071797783149,29836.900477886906,30.56811698837712,0.004620727878796346
Slow (10 PiB cap),75,9.370266439430035,0.004563638871757396,0.004563638871757396,29727.450212996904,30.255602595335716,0.004597982811089556
Slow (10 PiB cap),76,9.426758241011314,0.004541575899600287,0.004541575899600287,29615.099699698654,29.960628287400624,0.004575619837885182
Slow (10 PiB cap),77,9.478464369215823,0.004519856543441933,0.004519856543441933,29500.822387440396,29.68220961523963,0.004553611830822747
